Original_Item_Name,Normalised_Item_Name,Source_Type,Source_File,SKU_ID,Unique_SKU_Name,Mapping_Confidence,Review_Flag,Mapping_Reason
"Bajra Vardhnam -1107 (1.5 Kg*30 Pc)","BAJRA VARDHNAM 1107 1 5 KG X 30 PC","Credit Note","CN_25-26_converted.xlsx","BAJ002","Bajra Vardhnam 1107 — 1.5 Kg × 30 Pc","High","Yes","Exact or conservative SKU identity based on crop/category, variety/product name and explicit pack size."
"Bajra Vardhnam -9090(1.5 Kg*30 Pc)","BAJRA VARDHNAM 9090 1 5 KG X 30 PC","Credit Note","CN_25-26_converted.xlsx","BAJ003","Bajra Vardhnam 9090 — 1.5 Kg × 30 Pc","High","Yes","Exact or conservative SKU identity based on crop/category, variety/product name and explicit pack size."
"Maize( Basant Gold 9180) 4 Kg*10 Pc","MAIZE BASANT GOLD 9180 4 KG X 10 PC","Credit Note","CN_25-26_converted.xlsx","MAI001","Maize Basant Gold 9180 — 4 Kg × 10 Pc","High","Yes","Exact or conservative SKU identity based on crop/category, variety/product name and explicit pack size."
"Maize (Chanakya 4590) 4 Kg*10 Pc","MAIZE CHANAKYA 4590 4 KG X 10 PC","Credit Note","CN_25-26_converted.xlsx","MAI003","Maize Chanakya 4590 — 4 Kg × 10 Pc","High","Yes","Exact or conservative SKU identity based on crop/category, variety/product name and explicit pack size."
"Maize (Chanakya 4590) 4 Kg*8 Pc","MAIZE CHANAKYA 4590 4 KG X 8 PC","Credit Note","CN_25-26_converted.xlsx","MAI004","Maize Chanakya 4590 — 4 Kg × 8 Pc","High","Yes","Exact or conservative SKU identity based on crop/category, variety/product name and explicit pack size."
"Mustard VM Lakshmi 1246 (1Kg*30pc)","MUSTARD VM LAKSHMI 1246 1KG X 30PC","Credit Note","CN_25-26_converted.xlsx","MUS004","Mustard VM Lakshmi 1246 — 1 Kg × 30 Pc","High","Yes","Exact or conservative SKU identity based on crop/category, variety/product name and explicit pack size."
"Mustard VM Nidhi(1 Kg*30 Pc)","MUSTARD VM NIDHI 1 KG X 30 PC","Credit Note","CN_25-26_converted.xlsx","MUS005","Mustard VM Nidhi — 1 Kg × 30 Pc","High","Yes","Exact or conservative SKU identity based on crop/category, variety/product name and explicit pack size."
"Paddy Adiyogi(6 Kg*5 Pc)","PADDY ADIYOGI 6 KG X 5 PC","Credit Note","CN_25-26_converted.xlsx","PAD004","Paddy Adiyogi — 6 Kg × 5 Pc","High","Yes","Exact or conservative SKU identity based on crop/category, variety/product name and explicit pack size."
"Paddy Aman Plus (6 Kg*5 Pc)","PADDY AMAN PLUS 6 KG X 5 PC","Credit Note","CN_25-26_converted.xlsx","PAD005","Paddy Aman Plus — 6 Kg × 5 Pc","High","Yes","Exact or conservative SKU identity based on crop/category, variety/product name and explicit pack size."
"Paddy (Mumtaj 3 Kg*10pc)","PADDY MUMTAJ 3 KG X 10PC","Credit Note","CN_25-26_converted.xlsx","PAD012","Paddy Mumtaj — 3 Kg × 10 Pc","High","Yes","Exact or conservative SKU identity based on crop/category, variety/product name and explicit pack size."
"Paddy Namo 369 (3 Kg* 10 Pc)","PADDY NAMO 369 3 KG X 10 PC","Credit Note","CN_25-26_converted.xlsx","PAD013","Paddy Namo 369 — 3 Kg × 10 Pc","High","Yes","Exact or conservative SKU identity based on crop/category, variety/product name and explicit pack size."
"Paddy PB 1509 (6 Kg*5 Pc)","PADDY PB 1509 6 KG X 5 PC","Credit Note","CN_25-26_converted.xlsx","PAD015","Paddy PB 1509 — 6 Kg × 5 Pc","High","Yes","Exact or conservative SKU identity based on crop/category, variety/product name and explicit pack size."
"Paddy PB 1692 (6 Kg* 5 Pc)","PADDY PB 1692 6 KG X 5 PC","Credit Note","CN_25-26_converted.xlsx","PAD016","Paddy PB 1692 — 6 Kg × 5 Pc","High","Yes","Exact or conservative SKU identity based on crop/category, variety/product name and explicit pack size."
"Paddy (Sharbati 3 Kg*10 Pc)","PADDY SHARBATI 3 KG X 10 PC","Credit Note","CN_25-26_converted.xlsx","PAD021","Paddy Sharbati — 3 Kg × 10 Pc","High","Yes","Exact or conservative SKU identity based on crop/category, variety/product name and explicit pack size."
"Paddy Sugandha 5 (6 Kg*5 Pc)","PADDY SUGANDHA 5 6 KG X 5 PC","Credit Note","CN_25-26_converted.xlsx","PAD022","Paddy Sugandha 5 — 6 Kg × 5 Pc","High","Yes","Exact or conservative SKU identity based on crop/category, variety/product name and explicit pack size."
"Paddy Super Damini(6 Kg*5 Pc)","PADDY SUPER DAMINI 6 KG X 5 PC","Credit Note","CN_25-26_converted.xlsx","PAD023","Paddy Super Damini — 6 Kg × 5 Pc","High","Yes","Exact or conservative SKU identity based on crop/category, variety/product name and explicit pack size."
"SSG (RED KING)4 KG*10 PC","SSG RED KING 4 KG X 10 PC","Credit Note","CN_25-26_converted.xlsx","SSG001","SSG RED KING — 4 Kg × 10 Pc","High","Yes","Exact or conservative SKU identity based on crop/category, variety/product name and explicit pack size."
"SSG (WHITE KING)4 KG*10 PC","SSG WHITE KING 4 KG X 10 PC","Credit Note","CN_25-26_converted.xlsx","SSG004","SSG WHITE KING — 4 Kg × 10 Pc","High","Yes","Exact or conservative SKU identity based on crop/category, variety/product name and explicit pack size."
"Wheat Vardhnam-301(20 Kg)","WHEAT VARDHNAM 301 20 KG","Credit Note","CN_25-26_converted.xlsx","WHE006","Wheat Vardhnam 301 — 20 Kg","High","Yes","Exact or conservative SKU identity based on crop/category, variety/product name and explicit pack size."
