Original_Item_Name,Normalised_Item_Name,Source_Type,Source_File,SKU_ID,Unique_SKU_Name,Mapping_Confidence,Review_Flag,Mapping_Reason
"Maize","maize","Purchase/Purchase Return/Godown Stock","Tally:Telangana","","","Low","Yes","NEEDS REVIEW — variety uncertain. Candidates: MAI002 Maize Bulk (88%); MAI016 Maize — Not Available (88%) | impact: 6 row(s), 20,440 KGS, ₹42,55,793.74"
"Mustard Hyb.Lakshmi-1246(500gm*50 Pc)","mustard hyb.lakshmi-1246(500gm x 50 pc)","Sales/Sales Return/Godown Stock","Tally:U.P","","","Low","Yes","NEEDS REVIEW — variety uncertain. Candidates: MUS002 Mustard Hylakshmi 1246 — 500 Gm × 50 Pc (70%); MUS004 Mustard VM Lakshmi 1246 — 1 Kg × 30 Pc (55%); PAC016 Poly Pouch-Mustard (Lakshmi) (38%) | impact: 7 row(s), 3,332 KGS, ₹17,66,900"
"Paddy Shagun (6 Kg*5 Pc)","paddy shagun (6 kg x 5 pc)","Sales/Purchase/Sales Return/Godown Stock","Tally:U.P/Telangana","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: PAD022 Paddy Sugandha 5 — 6 Kg × 5 Pc (70%); PAD004 Paddy Adiyogi — 6 Kg × 5 Pc (40%); PAD005 Paddy Aman Plus — 6 Kg × 5 Pc (40%) | impact: 36 row(s), 23,670 KGS, ₹16,46,385.15"
"WHEAT DBW 187","wheat dbw 187","Purchase/Godown Stock","Tally:U.P","WHE005","Wheat DBW 187 — Not Available","High","No","AUTO-SUGGESTED 75% (variety matched). VERIFY PACK SIZE before accepting. | impact: 3 row(s), 53,800 KGS, ₹16,06,470.73"
"Bajra(Vardhnam-1107) 1.5 Kg*20 Pc.","bajra(vardhnam-1107) 1.5 kg x 20 pc.","Sales/Sales Return/Godown Stock","Tally:U.P","BAJ002","Bajra Vardhnam 1107 — 1.5 Kg × 30 Pc","High","No","AUTO-SUGGESTED 88% (variety matched). VERIFY PACK SIZE before accepting. | impact: 29 row(s), 5,695.5 KGS, ₹15,47,935"
"Paddy Supanna (6 Kg*5 Pc)","paddy supanna (6 kg x 5 pc)","Sales/Purchase/Sales Return/Godown Stock","Tally:U.P/Telangana","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: PAD022 Paddy Sugandha 5 — 6 Kg × 5 Pc (70%); PAD004 Paddy Adiyogi — 6 Kg × 5 Pc (40%); PAD005 Paddy Aman Plus — 6 Kg × 5 Pc (40%) | impact: 25 row(s), 15,696 KGS, ₹11,21,141.4"
"WATER MELON ICE CANDY","water melon ice candy","Sales/Godown Stock","Tally:U.P/Telangana","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: none | impact: 4 row(s), 28.5 KGS, ₹10,38,000"
"MAIZE (SULTAN 8199)","maize (sultan 8199)","Sales/Purchase/Godown Stock","Tally:Telangana/U.P","","","Low","Yes","NEEDS REVIEW — variety uncertain. Candidates: MAI011 Maize SULTAN 8199 — Not Available (75%); MAI012 Maize Sultan 8199 — 1 Kg × 40 Pc (75%); MAI013 Maize Sultan 8199 — 4 Kg × 10 Pc (75%) | impact: 5 row(s), 15,978 KGS, ₹9,58,732.34"
"Paddy PVH 071 (3 Kg* 10 Pc)","paddy pvh 071 (3 kg x 10 pc)","Sales/Sales Return/Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: PAD010 Paddy Hy. Shankhnaad — 3 Kg × 10 Pc (40%); PAD012 Paddy Mumtaj — 3 Kg × 10 Pc (40%); PAD013 Paddy Namo 369 — 3 Kg × 10 Pc (40%) | impact: 17 row(s), 4,674 KGS, ₹8,98,062"
"Maize Sultan 8199 (4 Kg*10 Pc)","maize sultan 8199 (4 kg x 10 pc)","Sales/Sales Return/Godown Stock","Tally:U.P","MAI013","Maize Sultan 8199 — 4 Kg × 10 Pc","High","No","AUTO-SUGGESTED 100% (variety matched). VERIFY PACK SIZE before accepting. | impact: 24 row(s), 6,256 KGS, ₹8,18,176"
"Paddy Aman Plus","paddy aman plus","Sales/Purchase/Godown Stock","Tally:Telangana/U.P","","","Low","Yes","NEEDS REVIEW — variety uncertain. Candidates: PAD005 Paddy Aman Plus — 6 Kg × 5 Pc (75%); PAD006 Paddy Aman — 6 Kg × 4 Pc (75%); PAD007 Paddy Aman — Not Available (75%) | impact: 5 row(s), 21,480 KGS, ₹7,29,000"
"Paddy Saurabh","paddy saurabh","Sales/Purchase/Godown Stock","Tally:Telangana/U.P","PAD020","Paddy Saurabh — Not Available","High","No","AUTO-SUGGESTED 75% (variety matched). VERIFY PACK SIZE before accepting. | impact: 5 row(s), 16,580 KGS, ₹5,96,880"
"Water Melon Hyb Yug 50gm*10","water melon hyb yug 50gm x 10","Sales/Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: OTH012 Watermelon Hy Yug — 50 Gm × 10 Pc (55%); MAT002 Matar VM 10 — 1 Kg × 30 Pc (30%) | impact: 2 row(s), 22.1 KGS, ₹5,94,250"
"Maize (Basant Gold 9180 4Kg*8 Pcs)","maize (basant gold 9180 4kg x 8 pc)","Sales/Godown Stock","Tally:U.P/Telangana","MAI001","Maize Basant Gold 9180 — 4 Kg × 10 Pc","High","No","AUTO-SUGGESTED 88% (variety matched). VERIFY PACK SIZE before accepting. | impact: 3 row(s), 2,368 KGS, ₹5,92,000"
"HYBRID BAJRA SEED VARIETY - BIG POWER","hybrid bajra seed variety - big power","Sales/Purchase/Godown Stock","Tally:U.P/Telangana","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: BAJ004 Bajra — Not Available (38%) | impact: 6 row(s), 4,719.5 KGS, ₹5,87,163.5"
"Bajra(Vardhnam-9090)1.5 Kg*20 Pc.","bajra(vardhnam-9090)1.5 kg x 20 pc.","Sales/Sales Return/Godown Stock","Tally:U.P","BAJ003","Bajra Vardhnam 9090 — 1.5 Kg × 30 Pc","High","No","AUTO-SUGGESTED 88% (variety matched). VERIFY PACK SIZE before accepting. | impact: 17 row(s), 2,002 KGS, ₹5,73,950"
