SKU_ID,Unique_SKU_Name,Crop,Variety,Pack_Size,Category,SKU_Status,Mapping_Confidence,Review_Flag,Review_Reason
"CHE001","Carbendazim 12 %+Mancozeb 63%","Not Applicable","Not Applicable","Not Available","Chemical","Active FY25-26","High","No",""
"CHE002","DELTAMETHRIN 2.5% WP","Not Applicable","Not Applicable","Not Available","Chemical","Active FY25-26","High","No",""
"OIN001","Floor Mill Machinaert Conveyor (Treator)","Not Applicable","Not Applicable","Not Available","Other Input","Active FY25-26","High","No",""
"OIN002","Humic 98% (Krishi Vardhnam)","Not Applicable","Not Applicable","Not Available","Other Input","Active FY25-26","High","No",""
"PAC001","Cartoons","Not Applicable","Not Applicable","Not Available","Packing Material","Active FY25-26","High","No",""
"PAC002","FB-PP/HDPP WOVEN SACKS","Not Applicable","Not Applicable","Not Available","Packing Material","Active FY25-26","High","No",""
"PAC003","Flexible Laminated Printed Material","Not Applicable","Not Applicable","Not Available","Packing Material","Active FY25-26","High","No",""
"PAC004","Hessian Bags","Not Applicable","Not Applicable","Not Available","Packing Material","Active FY25-26","High","No",""
"PAC005","Humic Packing Bag","Not Applicable","Not Applicable","Not Available","Packing Material","Active FY25-26","High","No",""
"PAC006","Laminated Sheets Packing Material","Not Applicable","Not Applicable","Not Available","Packing Material","Active FY25-26","High","No",""
"PAC007","Outer Bag","Not Applicable","Not Applicable","Not Available","Packing Material","Active FY25-26","High","No",""
"PAC008","P.P/HDPE BAGS","Not Applicable","Not Applicable","Not Available","Packing Material","Active FY25-26","High","No",""
"PAC009","Packing Bag","Not Applicable","Not Applicable","Not Available","Packing Material","Active FY25-26","High","No",""
"PAC010","Packing Material","Not Applicable","Not Applicable","Not Available","Packing Material","Active FY25-26","Low","Yes","Possible aggregate/category row or generic product name; Godown item may represent subtotal/category rather than stock item"
"PAC011","Paddy Pouch 6kg Blue — 6 Kg","Not Applicable","Not Applicable","6 Kg","Packing Material","Active FY25-26","High","No",""
"PAC012","Paddy Pouch 6kg Green — 6 Kg","Not Applicable","Not Applicable","6 Kg","Packing Material","Active FY25-26","High","No",""
"PAC013","Paddy Sharbati Cylinder","Not Applicable","Not Applicable","Not Available","Packing Material","Active FY25-26","High","No",""
"PAC014","Peddy Packing Bag 6Kg — 6 Kg","Not Applicable","Not Applicable","6 Kg","Packing Material","Active FY25-26","High","No",""
"PAC015","Poly Pouch-Mumtaj Hybrid Paddy","Not Applicable","Not Applicable","Not Available","Packing Material","Active FY25-26","High","No",""
"PAC016","Poly Pouch-Mustard (Lakshmi)","Not Applicable","Not Applicable","Not Available","Packing Material","Active FY25-26","High","No",""
"PAC017","Poly Pouch-Mustard (Nidhi)","Not Applicable","Not Applicable","Not Available","Packing Material","Active FY25-26","High","No",""
"PAC018","Printed Laminated Pouch (White King)","Not Applicable","Not Applicable","Not Available","Packing Material","Active FY25-26","High","No",""
"PAC019","RUBBER STEREO","Not Applicable","Not Applicable","Not Available","Packing Material","Active FY25-26","High","No",""
"BAJ001","Bajra 90 — Not Available","Bajra","90","Not Available","Seed","Active FY25-26","Medium","Yes","Pack size missing or not confirmed"
"BAJ002","Bajra Vardhnam 1107 — 1.5 Kg × 30 Pc","Bajra","Vardhnam 1107","1.5 Kg × 30 Pc","Seed","Active FY25-26","High","Yes","Credit Note item; verify whether physical stock return or accounting adjustment"
"BAJ003","Bajra Vardhnam 9090 — 1.5 Kg × 30 Pc","Bajra","Vardhnam 9090","1.5 Kg × 30 Pc","Seed","Active FY25-26","High","Yes","Credit Note item; verify whether physical stock return or accounting adjustment"
"BAJ004","Bajra — Not Available","Bajra","Not Available","Not Available","Seed","Active FY25-26","Low","Yes","Pack size missing or not confirmed; Possible aggregate/category row or generic product name; Godown item may represent subtotal/category rather than stock item"
"OTH001","Beet Root — Not Available","Beet Root","Not Available","Not Available","Seed","Active FY25-26","Medium","Yes","Pack size missing or not confirmed; Variety not available"
"OTH002","Bittergourd Hyabhi — 50 Gm × 10 Pc","Bittergourd","Hyabhi","50 Gm × 10 Pc","Seed","Active FY25-26","High","No",""
"OTH003","Bottlegourd Hynanda — 50 Gm × 10 Pc","Bottlegourd","Hynanda","50 Gm × 10 Pc","Seed","Active FY25-26","High","No",""
"OTH004","Bottlegourd Nanda — Not Available","Bottlegourd","Nanda","Not Available","Seed","Active FY25-26","Medium","Yes","Pack size missing or not confirmed"
"OTH005","Brinjal VM Super 7070 — 25 Gm × 20 Pc","Brinjal","VM Super 7070","25 Gm × 20 Pc","Seed","Active FY25-26","High","No",""
"MAI001","Maize Basant Gold 9180 — 4 Kg × 10 Pc","Maize","Basant Gold 9180","4 Kg × 10 Pc","Seed","Active FY25-26","High","Yes","Credit Note item; verify whether physical stock return or accounting adjustment"
"MAI002","Maize Bulk","Maize","Not Available","Bulk","Seed","Active FY25-26","Medium","Yes","Variety not available"
"MAI003","Maize Chanakya 4590 — 4 Kg × 10 Pc","Maize","Chanakya 4590","4 Kg × 10 Pc","Seed","Active FY25-26","High","Yes","Credit Note item; verify whether physical stock return or accounting adjustment"
