SKU_ID,Unique_SKU_Name,Crop,Variety,Pack_Size,Category,SKU_Status,Mapping_Confidence,Review_Flag,Review_Reason
"SEENEW001","Paddy Shagun (6 Kg*5 Pc)","Paddy","Shagun","6 Kg × 5 Pc","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Paddy Shagun (6 Kg*5 Pc)"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 36 row(s), 23,670 KGS, ₹16,46,385.15"
"SEENEW002","Paddy Supanna (6 Kg*5 Pc)","Paddy","Supanna","6 Kg × 5 Pc","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Paddy Supanna (6 Kg*5 Pc)"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 25 row(s), 15,696 KGS, ₹11,21,141.4"
"SEENEW003","WATER MELON ICE CANDY","Water Melon","ICE CANDY","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""WATER MELON ICE CANDY"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 4 row(s), 28.5 KGS, ₹10,38,000"
"SEENEW004","Paddy PVH 071 (3 Kg* 10 Pc)","Paddy","PVH 071","3 Kg × 10 Pc","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Paddy PVH 071 (3 Kg* 10 Pc)"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 17 row(s), 4,674 KGS, ₹8,98,062"
"SEENEW005","Water Melon Hyb Yug 50gm*10","Water Melon","Yug","50 Gm × 10 Pc","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Water Melon Hyb Yug 50gm*10"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 2 row(s), 22.1 KGS, ₹5,94,250"
"SEENEW006","HYBRID BAJRA SEED VARIETY - BIG POWER","Bajra","BIG POWER","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""HYBRID BAJRA SEED VARIETY - BIG POWER"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 6 row(s), 4,719.5 KGS, ₹5,87,163.5"
"SEENEW007","Paddy Prasanna","Paddy","Prasanna","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Paddy Prasanna"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 3 row(s), 15,945 KGS, ₹4,78,350"
"SEENEW008","Paddy Superdamini (6kg*pc)","Paddy","Superdamini","6 Kg","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Paddy Superdamini (6kg*pc)"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 2 row(s), 10,140 KGS, ₹4,71,611"
"SEENEW009","Maize Foundation (Female)","Maize","Foundation","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Maize Foundation (Female)"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 2 row(s), 1,600 KGS, ₹4,00,000"
"PACNEW001","Printed Laminted Pouch Paddy 3Kg","Not Applicable","Not Applicable","3 Kg","Packing Material","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Printed Laminted Pouch Paddy 3Kg"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 3 row(s), 22,210 NOS, ₹3,66,249.39"
"SEENEW010","Paddy-PB (1847)6 Kg*5 Pc.","Paddy","PB","6 Kg × 5 Pc","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Paddy-PB (1847)6 Kg*5 Pc."" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 8 row(s), 2,880 KGS, ₹3,00,600"
"SEENEW011","Paddy PB 1718 (6 Kg* 5 Pc)","Paddy","PB 1718","6 Kg × 5 Pc","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Paddy PB 1718 (6 Kg* 5 Pc)"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 12 row(s), 3,290 KGS, ₹2,01,721"
"SEENEW012","Urad Shekhar-2(Bhura) 3kg*10 Pkt","Urad","Shekhar 2","3 Kg × 10 Pkt","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Urad Shekhar-2(Bhura) 3kg*10 Pkt"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 9 row(s), 1,014 KGS, ₹1,85,890"
"SEENEW013","Bittergourd Hyb.Abhi 50gm*10 Pc","Bitter Gourd","Abhi","50 Gm × 10 Pc","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Bittergourd Hyb.Abhi 50gm*10 Pc"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 4 row(s), 9.67 KGS, ₹1,71,085.17"
"SEENEW014","Pumpkin Hy.Supertop 50gm*10 Pc","Pumpkin","Hy Supertop","50 Gm × 10 Pc","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Pumpkin Hy.Supertop 50gm*10 Pc"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 4 row(s), 13.8 KGS, ₹1,15,050"
"TRTNEW001","Yellow Polymer","Not Applicable","Not Applicable","Not Available","Seed Treatment","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Yellow Polymer"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 5 row(s), 425 KGS, ₹1,14,750"
"SEENEW015","Mung (Samrat-PDM139)3Kg*10PKT","Mung","Not Available","3 Kg × 10 Pkt","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Mung (Samrat-PDM139)3Kg*10PKT"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 5 row(s), 561 KGS, ₹1,00,890"
"SEENEW016","Maize Foundation( Male)","Maize","Foundation","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Maize Foundation( Male)"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 2 row(s), 400 KGS, ₹1,00,000"
"PACNEW002","MAIZE CYLINDER","Not Applicable","Not Applicable","Not Available","Packing Material","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""MAIZE CYLINDER"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 2 row(s), 0 , ₹93,337.5"
