SKU_ID,Unique_SKU_Name,In_Purchase,In_Sales,In_Credit_Note,In_Godown,Source_Count,Coverage_Status
"CHE001","Carbendazim 12 %+Mancozeb 63%","Yes","No","No","No",1,"Single Source Only"
"CHE002","DELTAMETHRIN 2.5% WP","Yes","No","No","No",1,"Single Source Only"
"OIN002","Humic 98% (Krishi Vardhnam)","No","No","No","Yes",1,"Single Source Only"
"PAC001","Cartoons","No","No","No","Yes",1,"Single Source Only"
"PAC002","FB-PP/HDPP WOVEN SACKS","Yes","No","No","No",1,"Single Source Only"
"PAC004","Hessian Bags","No","No","No","Yes",1,"Single Source Only"
"PAC005","Humic Packing Bag","No","No","No","Yes",1,"Single Source Only"
"PAC007","Outer Bag","No","No","No","Yes",1,"Single Source Only"
"PAC010","Packing Material","No","No","No","Yes",1,"Single Source Only"
"PAC011","Paddy Pouch 6kg Blue — 6 Kg","Yes","No","No","No",1,"Single Source Only"
"PAC012","Paddy Pouch 6kg Green — 6 Kg","Yes","No","No","No",1,"Single Source Only"
"PAC014","Peddy Packing Bag 6Kg — 6 Kg","No","No","No","Yes",1,"Single Source Only"
"PAC015","Poly Pouch-Mumtaj Hybrid Paddy","No","No","No","Yes",1,"Single Source Only"
"PAC016","Poly Pouch-Mustard (Lakshmi)","No","No","No","Yes",1,"Single Source Only"
"PAC017","Poly Pouch-Mustard (Nidhi)","No","No","No","Yes",1,"Single Source Only"
"PAC018","Printed Laminated Pouch (White King)","Yes","No","No","No",1,"Single Source Only"
"PAC019","RUBBER STEREO","No","No","No","Yes",1,"Single Source Only"
"BAJ001","Bajra 90 — Not Available","No","No","No","Yes",1,"Single Source Only"
"BAJ004","Bajra — Not Available","No","No","No","Yes",1,"Single Source Only"
"OTH001","Beet Root — Not Available","No","No","No","Yes",1,"Single Source Only"
"OTH002","Bittergourd Hyabhi — 50 Gm × 10 Pc","No","No","No","Yes",1,"Single Source Only"
"OTH003","Bottlegourd Hynanda — 50 Gm × 10 Pc","No","No","No","Yes",1,"Single Source Only"
"OTH004","Bottlegourd Nanda — Not Available","No","No","No","Yes",1,"Single Source Only"
"OTH005","Brinjal VM Super 7070 — 25 Gm × 20 Pc","No","No","No","Yes",1,"Single Source Only"
"MAI005","Maize Hy. Sultan 8199 — 4 Kg × 10 Pc","Yes","No","No","No",1,"Single Source Only"
"MAI006","Maize Hy. Sultan Plus — 1 Kg × 40 Pc","Yes","No","No","No",1,"Single Source Only"
"MAI007","Maize Hy.sultan 8199 — 1 Kg × 32 Pc","No","No","No","Yes",1,"Single Source Only"
"MAI008","Maize Hy.sultan 8199 — 1 Kg × 40 Pc","Yes","No","No","No",1,"Single Source Only"
"MAI009","Maize Hy.sultan 8199 — 4 Kg × 8 Pc","No","No","No","Yes",1,"Single Source Only"
"MAI010","Maize Hy.sultan Plus — 4 Kg × 10 Pc","Yes","No","No","No",1,"Single Source Only"
"MAT002","Matar VM 10 — 1 Kg × 30 Pc","No","No","No","Yes",1,"Single Source Only"
"MUS002","Mustard Hylakshmi 1246 — 500 Gm × 50 Pc","Yes","No","No","No",1,"Single Source Only"
"OTH006","Okra Kasturi — Not Available","No","No","No","Yes",1,"Single Source Only"
"PAD001","Paddy 1509 — 6 Kg × 4 Pc","No","No","No","Yes",1,"Single Source Only"
"PAD002","Paddy 1509 — Not Available","No","No","No","Yes",1,"Single Source Only"
"PAD003","Paddy 1692 Foundation — Not Available","Yes","No","No","No",1,"Single Source Only"
"PAD006","Paddy Aman — 6 Kg × 4 Pc","No","No","No","Yes",1,"Single Source Only"
