voucher_id,page,date,date_original,party,vch_type,vch_no,primary_ledger,credit_amount,agst_refs,narration
18,3,45801,2025-05-24 00:00:00.000,"13100 Paras Beej Bhandar","Credit Note","VAS 25-26/CN 18","Sales",1000,"","Being freight of paddy supply is credited."
19,3,45801,2025-05-24 00:00:00.000,"13200 Shri Radhey Radhey Krishi Sewa Kendra","Credit Note","VAS 25-26/CN 19","Sales",500,"","Being freight of paddy supply is credited."
24,4,45805,2025-05-28 00:00:00.000,"12200 Laxmi Khad Bhandar","Credit Note","VAS 25-26/CN 24","Sales",800,"","Being freight of paddy supply is credited."
25,4,45807,2025-05-30 00:00:00.000,"17100 Rashi Enterprises","Credit Note","VAS 25-26/CN 25","Sales",3000,"","Being freight of paddy supply is credited."
26,4,45807,2025-05-30 00:00:00.000,"13100 Paras Beej Bhandar","Credit Note","VAS 25-26/CN 26","Sales",1200,"","Being freight of paddy supply is credited."
27,4,45808,2025-05-31 00:00:00.000,"13100 Paras Beej Bhandar","Credit Note","VAS 25-26/CN 27","Sales",1000,"","Being freight of paddy supply is credited."
33,5,45814,2025-06-06 00:00:00.000,"13200 Shri Radhey Radhey Krishi Sewa Kendra","Credit Note","VAS 25-26/CN 33","Sales",500,"","Being freight of paddy supply is credited."
34,6,45814,2025-06-06 00:00:00.000,"13100 Paras Beej Bhandar","Credit Note","VAS 25-26/CN 34","Sales",600,"","Being fright of paddy supply is credited."
37,6,45831,2025-06-23 00:00:00.000,"53200 New Kisan Beej Bhandar (Handiya)","Credit Note","VAS 25-26/CN 37","Sales",19200,"","Being stock return at Kaushambi godown."
38,6,45831,2025-06-23 00:00:00.000,"53200 New Kisan Beej Bhandar (Handiya)","Credit Note","VAS 25-26/CN 38","Sales",44550,"","Being credit against of Non germination and rainy stock ."
45,7,45832,2025-06-24 00:00:00.000,"13100 Paras Beej Bhandar","Credit Note","VAS 25-26/CN 45","Sales",900,"","Being freight of bajra supply is credited."
46,7,45832,2025-06-24 00:00:00.000,"13200 Shri Radhey Radhey Krishi Sewa Kendra","Credit Note","VAS 25-26/CN 46","Sales",900,"","Being freight of bajra stock is credited."
